Date,Los Angeles,Orange,Riverside
01/25/2020,0,0,0
01/26/2020,1,1,0
01/27/2020,1,1,0
01/28/2020,1,1,0
01/29/2020,1,1,0
01/30/2020,1,1,0
01/31/2020,1,1,0
02/01/2020,1,1,0
02/02/2020,1,1,0
02/03/2020,1,1,0
02/04/2020,1,1,0
02/05/2020,1,1,0
02/06/2020,1,1,0
02/07/2020,1,1,0
02/08/2020,1,1,0
02/09/2020,1,1,0
02/10/2020,1,1,0
02/11/2020,1,1,0
02/12/2020,1,1,0
02/13/2020,1,1,0
02/14/2020,1,1,0
02/15/2020,1,1,0
02/16/2020,1,1,0
02/17/2020,1,1,0
02/18/2020,1,1,0
02/19/2020,1,1,0
02/20/2020,1,1,0
02/21/2020,1,1,0
02/22/2020,1,1,0
02/23/2020,1,1,0
02/24/2020,1,1,0
02/25/2020,1,1,0
02/26/2020,1,1,0
02/27/2020,1,1,0
02/28/2020,1,1,0
02/29/2020,1,1,0
03/01/2020,1,1,0
03/02/2020,1,1,0
03/03/2020,1,1,0
03/04/2020,7,3,0
03/05/2020,11,3,0
03/06/2020,13,3,0
03/07/2020,14,3,0
03/08/2020,14,3,1
03/09/2020,14,4,1
03/10/2020,20,5,4
03/11/2020,26,5,6
03/12/2020,32,6,8
03/13/2020,39,6,8
03/14/2020,52,14,14
03/15/2020,68,14,14
03/16/2020,93,17,15
03/17/2020,143,22,13
03/18/2020,189,29,13
03/19/2020,189,42,13
03/20/2020,229,53,19
03/21/2020,290,66,24
03/22/2020,347,78,25
03/23/2020,404,95,37
03/24/2020,532,125,32
03/25/2020,651,151,51
03/26/2020,1203,255,98
03/27/2020,1209,255,143
03/28/2020,1439,318,175
03/29/2020,1786,399,187
03/30/2020,2110,427,225
03/31/2020,2430,460,282
04/01/2020,2983,495,358
04/02/2020,3452,596,416
04/03/2020,3967,643,429
04/04/2020,4477,698,573
04/05/2020,5808,820,587
04/06/2020,5823,820,720
04/07/2020,6230,868,861
04/08/2020,7361,999,1080
04/09/2020,7732,1062,1173
04/10/2020,8201,1121,1186
04/11/2020,8209,1203,1265
04/12/2020,8625,1258,1453
04/13/2020,9111,1264,1384
04/14/2020,9687,1280,1614
04/15/2020,10112,1354,1535
04/16/2020,10397,1400,1635
04/17/2020,10903,1473,1916
04/18/2020,11445,1524,1916
04/19/2020,11474,1604,2056
04/20/2020,13204,1643,1921
04/21/2020,14490,1658,2062
04/22/2020,15715,1719,2110
04/23/2020,16479,1791,2196
04/24/2020,16769,1809,2214
04/25/2020,18238,1931,2299
04/26/2020,18651,2035,2541
04/27/2020,19479,2087,2295
04/28/2020,19994,2109,2257
04/29/2020,21429,2208,2291
04/30/2020,22109,2348,2453
05/1/2020,23085,2487,2399
05/2/2020,23685,2584,2440
05/3/2020,24468,2691,2520
05/4/2020,24960,2762,2048
05/5/2020,26521,2804,2191
05/6/2020,52452.82,4134.8164,2019.561
05/7/2020,52452.824,4134.8164,2019.5612
05/8/2020,52452.824,4134.8164,2019.561
05/9/2020,52452.824,4134.8164,2019.5612
05/10/2020,52452.824,4134.8164,2019.5612
05/11/2020,52452.824,4134.8164,2019.5612
05/12/2020,52452.824,4134.8164,2019.561
05/13/2020,52452.824,4134.8164,2019.5612
05/14/2020,52452.824,4134.8164,2019.5612
05/15/2020,0,0,0
